arm,step,task_id,answer_position,scored_count
FIXED,128,leetcode/2915,514,2
FIXED,128,leetcode/2915,515,2
FIXED,128,leetcode/2915,516,2
FIXED,128,leetcode/2915,517,2
FIXED,128,leetcode/2915,518,2
FIXED,128,leetcode/2915,519,2
FIXED,128,leetcode/3017,0,1
FIXED,128,leetcode/3017,1,1
FIXED,128,leetcode/3017,2,1
FIXED,128,leetcode/3017,3,1
FIXED,128,leetcode/3017,4,1
FIXED,128,leetcode/3017,5,1
FIXED,128,leetcode/3017,6,1
FIXED,128,leetcode/3017,7,1
FIXED,128,leetcode/3017,32,1
FIXED,128,leetcode/3017,33,1
FIXED,128,leetcode/3017,34,1
FIXED,128,leetcode/3017,35,1
FIXED,128,leetcode/3017,36,1
FIXED,128,leetcode/3017,37,1
FIXED,128,leetcode/3017,38,1
FIXED,128,leetcode/3017,39,1
FIXED,128,leetcode/3017,128,2
FIXED,128,leetcode/3017,129,2
FIXED,128,leetcode/3017,130,2
FIXED,128,leetcode/3017,131,2
FIXED,128,leetcode/3017,132,2
FIXED,128,leetcode/3017,133,2
FIXED,128,leetcode/3017,134,2
FIXED,128,leetcode/3017,135,2
FIXED,128,leetcode/3017,512,2
FIXED,128,leetcode/3017,513,2
FIXED,128,leetcode/3017,514,2
FIXED,128,leetcode/3017,515,2
FIXED,128,leetcode/3017,516,2
FIXED,128,leetcode/3017,517,2
FIXED,128,leetcode/3017,518,2
FIXED,128,leetcode/3017,519,2
FIXED,128,leetcode/3151,0,1
FIXED,128,leetcode/3151,1,1
FIXED,128,leetcode/3151,2,1
FIXED,128,leetcode/3151,3,1
FIXED,128,leetcode/3151,4,1
FIXED,128,leetcode/3151,5,1
FIXED,128,leetcode/3151,6,1
FIXED,128,leetcode/3151,7,1
FIXED,128,leetcode/3151,32,1
FIXED,128,leetcode/3151,33,1
FIXED,128,leetcode/3151,34,1
FIXED,128,leetcode/3151,35,1
FIXED,128,leetcode/3151,36,1
FIXED,128,leetcode/3151,37,1
FIXED,128,leetcode/3151,38,1
FIXED,128,leetcode/3151,39,1
FIXED,128,leetcode/3151,128,2
FIXED,128,leetcode/3151,129,2
FIXED,128,leetcode/3151,130,2
FIXED,128,leetcode/3151,131,2
FIXED,128,leetcode/3151,132,2
FIXED,128,leetcode/3151,133,2
FIXED,128,leetcode/3151,134,2
FIXED,128,leetcode/3151,135,2
FIXED,128,leetcode/3151,512,2
FIXED,128,leetcode/3151,513,2
FIXED,128,leetcode/3151,514,2
FIXED,128,leetcode/3151,515,2
FIXED,128,leetcode/3151,516,2
FIXED,128,leetcode/3151,517,2
FIXED,128,leetcode/3151,518,2
FIXED,128,leetcode/3151,519,2
FIXED,128,leetcode/3184,0,2
FIXED,128,leetcode/3184,1,2
FIXED,128,leetcode/3184,2,2
FIXED,128,leetcode/3184,3,2
FIXED,128,leetcode/3184,4,2
FIXED,128,leetcode/3184,5,2
FIXED,128,leetcode/3184,6,2
FIXED,128,leetcode/3184,7,2
FIXED,128,leetcode/3184,32,2
FIXED,128,leetcode/3184,33,2
FIXED,128,leetcode/3184,34,2
FIXED,128,leetcode/3184,35,2
FIXED,128,leetcode/3184,36,2
FIXED,128,leetcode/3184,37,2
FIXED,128,leetcode/3184,38,2
FIXED,128,leetcode/3184,39,2
FIXED,128,leetcode/3184,128,1
FIXED,128,leetcode/3184,129,1
FIXED,128,leetcode/3184,130,1
FIXED,128,leetcode/3184,131,1
FIXED,128,leetcode/3184,132,1
FIXED,128,leetcode/3184,133,1
FIXED,128,leetcode/3184,134,1
FIXED,128,leetcode/3184,135,1
FIXED,128,leetcode/3184,512,2
FIXED,128,leetcode/3184,513,2
FIXED,128,leetcode/3184,514,2
FIXED,128,leetcode/3184,515,2
FIXED,128,leetcode/3184,516,2
FIXED,128,leetcode/3184,517,2
FIXED,128,leetcode/3184,518,2
FIXED,128,leetcode/3184,519,2
FIXED,128,leetcode/3225,0,1
FIXED,128,leetcode/3225,1,1
FIXED,128,leetcode/3225,2,1
FIXED,128,leetcode/3225,3,1
FIXED,128,leetcode/3225,4,1
FIXED,128,leetcode/3225,5,1
FIXED,128,leetcode/3225,6,1
FIXED,128,leetcode/3225,7,1
FIXED,128,leetcode/3225,32,1
FIXED,128,leetcode/3225,33,1
FIXED,128,leetcode/3225,34,1
FIXED,128,leetcode/3225,35,1
FIXED,128,leetcode/3225,36,1
FIXED,128,leetcode/3225,37,1
FIXED,128,leetcode/3225,38,1
FIXED,128,leetcode/3225,39,1
FIXED,128,leetcode/3225,128,1
FIXED,128,leetcode/3225,129,1
FIXED,128,leetcode/3225,130,1
FIXED,128,leetcode/3225,131,1
FIXED,128,leetcode/3225,132,1
FIXED,128,leetcode/3225,133,1
FIXED,128,leetcode/3225,134,1
FIXED,128,leetcode/3225,135,1
FIXED,128,leetcode/3225,512,2
FIXED,128,leetcode/3225,513,2
FIXED,128,leetcode/3225,514,2
FIXED,128,leetcode/3225,515,2
FIXED,128,leetcode/3225,516,2
FIXED,128,leetcode/3225,517,2
FIXED,128,leetcode/3225,518,2
FIXED,128,leetcode/3225,519,2
FIXED,128,atcoder/abc302_c,0,1
FIXED,128,atcoder/abc302_c,1,1
FIXED,128,atcoder/abc302_c,2,1
FIXED,128,atcoder/abc302_c,3,1
FIXED,128,atcoder/abc302_c,4,1
FIXED,128,atcoder/abc302_c,5,1
FIXED,128,atcoder/abc302_c,6,1
FIXED,128,atcoder/abc302_c,7,1
FIXED,128,atcoder/abc302_c,32,1
FIXED,128,atcoder/abc302_c,33,1
FIXED,128,atcoder/abc302_c,34,1
FIXED,128,atcoder/abc302_c,35,1
FIXED,128,atcoder/abc302_c,36,1
FIXED,128,atcoder/abc302_c,37,1
FIXED,128,atcoder/abc302_c,38,1
FIXED,128,atcoder/abc302_c,39,1
FIXED,128,atcoder/abc302_c,128,1
FIXED,128,atcoder/abc302_c,129,1
FIXED,128,atcoder/abc302_c,130,1
FIXED,128,atcoder/abc302_c,131,1
FIXED,128,atcoder/abc302_c,132,1
FIXED,128,atcoder/abc302_c,133,1
FIXED,128,atcoder/abc302_c,134,1
FIXED,128,atcoder/abc302_c,135,1
FIXED,128,atcoder/abc307_d,0,1
FIXED,128,atcoder/abc307_d,1,1
FIXED,128,atcoder/abc307_d,2,1
FIXED,128,atcoder/abc307_d,3,1
FIXED,128,atcoder/abc307_d,4,1
FIXED,128,atcoder/abc307_d,5,1
FIXED,128,atcoder/abc307_d,6,1
FIXED,128,atcoder/abc307_d,7,1
FIXED,128,atcoder/abc307_d,32,2
FIXED,128,atcoder/abc307_d,33,2
FIXED,128,atcoder/abc307_d,34,2
FIXED,128,atcoder/abc307_d,35,2
FIXED,128,atcoder/abc307_d,36,2
FIXED,128,atcoder/abc307_d,37,2
FIXED,128,atcoder/abc307_d,38,2
FIXED,128,atcoder/abc307_d,39,2
FIXED,128,atcoder/abc307_d,128,2
FIXED,128,atcoder/abc307_d,129,2
FIXED,128,atcoder/abc307_d,130,2
FIXED,128,atcoder/abc307_d,131,2
FIXED,128,atcoder/abc307_d,132,2
FIXED,128,atcoder/abc307_d,133,2
FIXED,128,atcoder/abc307_d,134,2
FIXED,128,atcoder/abc307_d,135,2
FIXED,128,atcoder/abc307_d,512,2
FIXED,128,atcoder/abc307_d,513,2
FIXED,128,atcoder/abc307_d,514,2
FIXED,128,atcoder/abc307_d,515,2
FIXED,128,atcoder/abc307_d,516,2
FIXED,128,atcoder/abc307_d,517,2
FIXED,128,atcoder/abc307_d,518,2
FIXED,128,atcoder/abc307_d,519,2
FIXED,128,atcoder/abc310_e,0,1
FIXED,128,atcoder/abc310_e,1,1
FIXED,128,atcoder/abc310_e,2,1
FIXED,128,atcoder/abc310_e,3,1
FIXED,128,atcoder/abc310_e,4,1
FIXED,128,atcoder/abc310_e,5,1
FIXED,128,atcoder/abc310_e,6,1
FIXED,128,atcoder/abc310_e,7,1
FIXED,128,atcoder/abc310_e,32,1
FIXED,128,atcoder/abc310_e,33,1
FIXED,128,atcoder/abc310_e,34,1
FIXED,128,atcoder/abc310_e,35,1
FIXED,128,atcoder/abc310_e,36,1
FIXED,128,atcoder/abc310_e,37,1
FIXED,128,atcoder/abc310_e,38,1
FIXED,128,atcoder/abc310_e,39,1
FIXED,128,atcoder/abc310_e,128,1
FIXED,128,atcoder/abc310_e,129,1
FIXED,128,atcoder/abc310_e,130,1
FIXED,128,atcoder/abc310_e,131,1
FIXED,128,atcoder/abc310_e,132,1
FIXED,128,atcoder/abc310_e,133,1
FIXED,128,atcoder/abc310_e,134,1
FIXED,128,atcoder/abc310_e,135,1
FIXED,128,atcoder/abc314_e,0,1
FIXED,128,atcoder/abc314_e,1,1
FIXED,128,atcoder/abc314_e,2,1
FIXED,128,atcoder/abc314_e,3,1
FIXED,128,atcoder/abc314_e,4,1
FIXED,128,atcoder/abc314_e,5,1
FIXED,128,atcoder/abc314_e,6,1
FIXED,128,atcoder/abc314_e,7,1
FIXED,128,atcoder/abc314_e,32,1
FIXED,128,atcoder/abc314_e,33,1
FIXED,128,atcoder/abc314_e,34,1
FIXED,128,atcoder/abc314_e,35,1
FIXED,128,atcoder/abc314_e,36,1
FIXED,128,atcoder/abc314_e,37,1
FIXED,128,atcoder/abc314_e,38,1
FIXED,128,atcoder/abc314_e,39,1
FIXED,128,atcoder/abc314_e,128,1
FIXED,128,atcoder/abc314_e,129,1
FIXED,128,atcoder/abc314_e,130,1
FIXED,128,atcoder/abc314_e,131,1
FIXED,128,atcoder/abc314_e,132,1
FIXED,128,atcoder/abc314_e,133,1
FIXED,128,atcoder/abc314_e,134,1
FIXED,128,atcoder/abc314_e,135,1
FIXED,128,atcoder/abc314_e,512,2
FIXED,128,atcoder/abc314_e,513,2
FIXED,128,atcoder/abc314_e,514,2
FIXED,128,atcoder/abc314_e,515,2
FIXED,128,atcoder/abc314_e,516,2
FIXED,128,atcoder/abc314_e,517,2
FIXED,128,atcoder/abc314_e,518,2
FIXED,128,atcoder/abc314_e,519,2
FIXED,128,atcoder/abc323_b,0,2
FIXED,128,atcoder/abc323_b,1,2
FIXED,128,atcoder/abc323_b,2,2
FIXED,128,atcoder/abc323_b,3,2
FIXED,128,atcoder/abc323_b,4,2
FIXED,128,atcoder/abc323_b,5,2
FIXED,128,atcoder/abc323_b,6,2
FIXED,128,atcoder/abc323_b,7,2
FIXED,128,atcoder/abc323_b,32,2
FIXED,128,atcoder/abc323_b,33,2
FIXED,128,atcoder/abc323_b,34,2
FIXED,128,atcoder/abc323_b,35,2
FIXED,128,atcoder/abc323_b,36,2
FIXED,128,atcoder/abc323_b,37,2
FIXED,128,atcoder/abc323_b,38,2
FIXED,128,atcoder/abc323_b,39,2
FIXED,128,atcoder/abc323_b,128,1
FIXED,128,atcoder/abc323_b,129,1
FIXED,128,atcoder/abc323_b,130,1
FIXED,128,atcoder/abc323_b,131,1
FIXED,128,atcoder/abc323_b,132,1
FIXED,128,atcoder/abc323_b,133,1
FIXED,128,atcoder/abc323_b,134,1
FIXED,128,atcoder/abc323_b,135,1
FIXED,128,atcoder/abc328_e,0,1
FIXED,128,atcoder/abc328_e,1,1
FIXED,128,atcoder/abc328_e,2,1
FIXED,128,atcoder/abc328_e,3,1
FIXED,128,atcoder/abc328_e,4,1
FIXED,128,atcoder/abc328_e,5,1
FIXED,128,atcoder/abc328_e,6,1
FIXED,128,atcoder/abc328_e,7,1
FIXED,128,atcoder/abc328_e,32,1
FIXED,128,atcoder/abc328_e,33,1
FIXED,128,atcoder/abc328_e,34,1
FIXED,128,atcoder/abc328_e,35,1
FIXED,128,atcoder/abc328_e,36,1
FIXED,128,atcoder/abc328_e,37,1
FIXED,128,atcoder/abc328_e,38,1
FIXED,128,atcoder/abc328_e,39,1
FIXED,128,atcoder/abc328_e,128,1
FIXED,128,atcoder/abc328_e,129,1
FIXED,128,atcoder/abc328_e,130,1
FIXED,128,atcoder/abc328_e,131,1
FIXED,128,atcoder/abc328_e,132,1
FIXED,128,atcoder/abc328_e,133,1
FIXED,128,atcoder/abc328_e,134,1
FIXED,128,atcoder/abc328_e,135,1
FIXED,128,atcoder/abc328_e,512,2
FIXED,128,atcoder/abc328_e,513,2
FIXED,128,atcoder/abc328_e,514,2
FIXED,128,atcoder/abc328_e,515,2
FIXED,128,atcoder/abc328_e,516,2
FIXED,128,atcoder/abc328_e,517,2
FIXED,128,atcoder/abc328_e,518,2
FIXED,128,atcoder/abc328_e,519,2
FIXED,128,atcoder/abc332_b,0,1
FIXED,128,atcoder/abc332_b,1,1
FIXED,128,atcoder/abc332_b,2,1
FIXED,128,atcoder/abc332_b,3,1
FIXED,128,atcoder/abc332_b,4,1
FIXED,128,atcoder/abc332_b,5,1
FIXED,128,atcoder/abc332_b,6,1
FIXED,128,atcoder/abc332_b,7,1
FIXED,128,atcoder/abc332_b,32,1
FIXED,128,atcoder/abc332_b,33,1
FIXED,128,atcoder/abc332_b,34,1
FIXED,128,atcoder/abc332_b,35,1
FIXED,128,atcoder/abc332_b,36,1
FIXED,128,atcoder/abc332_b,37,1
FIXED,128,atcoder/abc332_b,38,1
FIXED,128,atcoder/abc332_b,39,1
FIXED,128,leetcode/2728,0,2
FIXED,128,leetcode/2728,1,2
FIXED,128,leetcode/2728,2,2
FIXED,128,leetcode/2728,3,2
FIXED,128,leetcode/2728,4,2
FIXED,128,leetcode/2728,5,2
FIXED,128,leetcode/2728,6,2
FIXED,128,leetcode/2728,7,2
FIXED,128,leetcode/2728,32,2
FIXED,128,leetcode/2728,33,2
FIXED,128,leetcode/2728,34,2
FIXED,128,leetcode/2728,35,2
FIXED,128,leetcode/2728,36,2
FIXED,128,leetcode/2728,37,2
FIXED,128,leetcode/2728,38,2
FIXED,128,leetcode/2728,39,2
FIXED,128,leetcode/2728,128,2
FIXED,128,leetcode/2728,129,2
FIXED,128,leetcode/2728,130,2
FIXED,128,leetcode/2728,131,2
FIXED,128,leetcode/2728,132,2
FIXED,128,leetcode/2728,133,2
FIXED,128,leetcode/2728,134,2
FIXED,128,leetcode/2728,135,2
FIXED,128,leetcode/2728,512,2
FIXED,128,leetcode/2728,513,2
FIXED,128,leetcode/2728,514,2
FIXED,128,leetcode/2728,515,2
FIXED,128,leetcode/2728,516,2
FIXED,128,leetcode/2728,517,2
FIXED,128,leetcode/2728,518,2
FIXED,128,leetcode/2728,519,2
FIXED,128,leetcode/2824,0,1
FIXED,128,leetcode/2824,1,1
FIXED,128,leetcode/2824,2,1
FIXED,128,leetcode/2824,3,1
FIXED,128,leetcode/2824,4,1
FIXED,128,leetcode/2824,5,1
FIXED,128,leetcode/2824,6,1
FIXED,128,leetcode/2824,7,1
FIXED,128,leetcode/2824,32,1
